Results
11                                                                                        707884
31                                                                                        329653
53                                                                                        429087
127                                                                                       304945
149                                                                                       415623
401                                                                                       532850
953                                                                                       485389
1973                                                                                      416085
3739                                                                                      378148
4283                                                                                      433397
11801                                                                                     520204
24517                                                                                     434820
53189                                                                                     440794
79319                                                                                     482417
209851                                                                                    429936
325319                                                                                    484859
712409                                                                                    588817
1920011                                                                                   405851
4081177                                                                                   508857
6428447                                                                                   477953
8676013                                                                                   617970
30895859                                                                                  452731
51676511                                                                                  494756
81348623                                                                                  547359
230637023                                                                                 499469
376891973                                                                                 636794
888362021                                                                                 558952
1585616033                                                                                854423
2490592711                                                                                825111
6015845807                                                                                985459
15375796979                                                                               874506
24776300183                                                                               963994
41762842697                                                                               1187950
136482076859                                                                              873741
180886369739                                                                              1000369
324515290987                                                                              1058027
1037099721799                                                                             852919
1974760400219                                                                             973417
2716631279611                                                                             1070778
7689874481369                                                                             1097625
12450191150281                                                                            1105530
29855827757263                                                                            971656
61848685022497                                                                            1213021
118095041373667                                                                           1025447
165037391698513                                                                           1385365
350130190177543                                                                           1181453
578240570839423                                                                           1253700
1668808400816911                                                                          1126523
3707825450320883                                                                          1172170
8335035833505247                                                                          955851
14600016151603261                                                                         1010415
29960406286802359                                                                         1008406
65743662834605219                                                                         926152
110144425509662179                                                                        962557
181598002814029643                                                                        1148637
332906818415696947                                                                        1140817
840011006360663387                                                                        1022791
2167416434614309031                                                                       1029457
4519203662899110139                                                                       1027528
5137716978479902697                                                                       1415196
16237045705801649717                                                                      651617
35222423978552124437                                                                      828855
41776837475919028279                                                                      866655
119199354086507041271                                                                     776876
167117015080919156563                                                                     820739
509298106353606136363                                                                     757437
813325095299560147021                                                                     872365
1595423455599197615309                                                                    838080
3142647466159562766199                                                                    790889
9062931564746761745117                                                                    827785
9561296001911241663961                                                                    930854
23330086583280338660957                                                                   945225
67499795748113324746679                                                                   818218
120473207589820310858363                                                                  879068
185478931936686952360453                                                                  852722
